cluster,nt,uniport,"sig  (foldchange>|4|, padj<0.001)",,,,
Cluster-108166.1_TRINITY_DN201919_c2_g3,XM_017578979.1,9DC3_SOLPI,nochange,,,,
Cluster-108166.2_TRINITY_DN201919_c2_g3,XM_017578979.1,9DC3_SOLPI,nochange,,,,
Cluster-84358.2_TRINITY_DN200643_c1_g1,XM_017393132.1,9DC3_SOLPI,nochange,,,,
Cluster-95185.0_TRINITY_DN206722_c1_g1,XM_017387533.1,9DC3_SOLPI,nochange,,,,
Cluster-93255.5_TRINITY_DN208222_c0_g2,XM_017380637.1,9DC3_SOLPI,nochange,,,,
Cluster-94257.0_TRINITY_DN200423_c2_g1,XM_016826412.1,9DC3_SOLPI,nochange,,,,
Cluster-99773.0_TRINITY_DN205839_c1_g4,XM_016725549.1,9DC3_SOLPI,nochange,,,,
Cluster-108166.4_TRINITY_DN201919_c2_g1,XM_016695938.1,9DC3_SOLPI,nochange,,,,
Cluster-113354.1_TRINITY_DN206149_c0_g1,XM_016037630.2,9DC3_SOLPI,nochange,,,,
Cluster-96325.4_TRINITY_DN207271_c3_g1,XM_015525644.2,9DC3_SOLPI,nochange,,,,
Cluster-27302.4_TRINITY_DN209259_c2_g1,XM_012715098.1,9DC3_SOLPI,nochange,,,,
Cluster-93049.1_TRINITY_DN206785_c2_g1,XM_012226881.2,9DC3_SOLPI,nochange,,,,
Cluster-44741.1_TRINITY_DN197747_c0_g1,XM_012217000.2,9DC3_SOLPI,nochange,,,,
Cluster-104052.0_TRINITY_DN208648_c3_g3,XM_012210060.2,9DC3_SOLPI,nochange,,,,
Cluster-95762.0_TRINITY_DN206757_c0_g3,XM_011101131.2,9DC3_SOLPI,nochange,,,,
Cluster-104792.6_TRINITY_DN208963_c1_g1,XM_010654790.2,9DC3_SOLPI,nochange,,,,
Cluster-97618.0_TRINITY_DN206795_c0_g1,XM_009396345.2,9DC3_SOLPI,nochange,,,,
Cluster-110396.0_TRINITY_DN200983_c0_g1,XM_009118064.2,9DC3_SOLPI,nochange,,,,
Cluster-104352.0_TRINITY_DN207073_c1_g1,XM_008240459.2,9DC3_SOLPI,nochange,,,,
Cluster-94229.2_TRINITY_DN201125_c4_g1,XM_007203789.2,9DC3_SOLPI,nochange,,,,
Cluster-97852.1_TRINITY_DN204179_c0_g2,XM_007041159.2,9DC3_SOLPI,nochange,,,,
Cluster-97496.0_TRINITY_DN201165_c4_g1,XM_007012915.2,9DC3_SOLPI,nochange,,,,
Cluster-91626.0_TRINITY_DN203562_c0_g1,XM_004496364.2,9DC3_SOLPI,nochange,,,,
Cluster-98967.0_TRINITY_DN209482_c2_g2,XM_004308936.2,9DC3_SOLPI,nochange,,,,
Cluster-106142.0_TRINITY_DN210649_c8_g7,XM_003518712.4,9DC3_SOLPI,nochange,,,,
Cluster-108186.4_TRINITY_DN198531_c0_g1,XM_002530149.2,9DC3_SOLPI,nochange,,,,
Cluster-107766.2_TRINITY_DN210242_c0_g3,XM_002509377.3,9DC3_SOLPI,nochange,,,,
Cluster-111830.1_TRINITY_DN209667_c0_g1,XM_002284000.3,9DC3_SOLPI,nochange,,,,
Cluster-98967.2_TRINITY_DN209482_c2_g3,XM_002275239.3,9DC3_SOLPI,nochange,,,,
Cluster-101152.0_TRINITY_DN207275_c1_g2,NM_124271.3,9DC3_SOLPI,nochange,,,,
Cluster-108221.2_TRINITY_DN198898_c0_g1,NM_114242.4,9DC3_SOLPI,nochange,,,,
Cluster-108221.0_TRINITY_DN198898_c0_g2,NM_114242.4,9DC3_SOLPI,nochange,,,,
Cluster-89446.0_TRINITY_DN207699_c1_g9,NM_001252781.1,9DC3_SOLPI,nochange,,,,
Cluster-106543.0_TRINITY_DN205871_c3_g1,LT669790.1,9DC3_SOLPI,nochange,,,,
Cluster-97380.0_TRINITY_DN207807_c0_g1,LR031873.1,9DC3_SOLPI,nochange,,,,
Cluster-103461.4_TRINITY_DN207435_c3_g2,KP280082.1,9DC3_SOLPI,nochange,,,,
Cluster-98589.0_TRINITY_DN203782_c0_g3,KF989482.1,9DC3_SOLPI,nochange,,,,
Cluster-111139.1_TRINITY_DN203640_c2_g1,HG975444.1,9DC3_SOLPI,nochange,,,,
Cluster-99211.0_TRINITY_DN211210_c2_g3,EF652909.1,9DC3_SOLPI,nochange,,,,
Cluster-93665.5_TRINITY_DN207924_c0_g1,CP025660.1,9DC3_SOLPI,nochange,,,,
Cluster-104315.0_TRINITY_DN204648_c1_g1,CP025647.1,9DC3_SOLPI,nochange,,,,
Cluster-101682.0_TRINITY_DN209676_c0_g2,CP025645.1,9DC3_SOLPI,nochange,,,,
Cluster-93665.4_TRINITY_DN207924_c0_g1,CP016916.1,9DC3_SOLPI,nochange,,,,
Cluster-102592.0_TRINITY_DN200423_c3_g5,,9DC3_SOLPI,nochange,,,,
Cluster-92577.0_TRINITY_DN206911_c4_g3,,9DC3_SOLPI,nochange,,,,
Cluster-94805.0_TRINITY_DN201919_c2_g2,,9DC3_SOLPI,nochange,,,,
Cluster-15696.9_TRINITY_DN204604_c4_g1,,9DC3_SOLPI,nochange,,,,
Cluster-100764.0_TRINITY_DN204254_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-90932.4_TRINITY_DN197639_c7_g1,,9DC3_SOLPI,nochange,,,,
Cluster-70520.2_TRINITY_DN209459_c1_g2,,9DC3_SOLPI,nochange,,,,
Cluster-95012.0_TRINITY_DN208124_c4_g1,,9DC3_SOLPI,nochange,,,,
Cluster-73256.3_TRINITY_DN206285_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-1252.0_TRINITY_DN187200_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-96350.2_TRINITY_DN202909_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-38218.1_TRINITY_DN194238_c5_g2,,9DC3_SOLPI,nochange,,,,
Cluster-45780.0_TRINITY_DN196447_c3_g4,,9DC3_SOLPI,nochange,,,,
Cluster-105942.0_TRINITY_DN209400_c3_g1,,9DC3_SOLPI,nochange,,,,
Cluster-108259.5_TRINITY_DN201583_c2_g1,,9DC3_SOLPI,nochange,,,,
Cluster-31380.0_TRINITY_DN201217_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-14956.4_TRINITY_DN205035_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-101950.4_TRINITY_DN199900_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-86636.18_TRINITY_DN207813_c4_g1,,9DC3_SOLPI,nochange,,,,
Cluster-111139.0_TRINITY_DN203640_c2_g1,,9DC3_SOLPI,nochange,,,,
Cluster-110210.3_TRINITY_DN204080_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-17395.3_TRINITY_DN210987_c1_g1,,9DC3_SOLPI,nochange,,,,
Cluster-98985.0_TRINITY_DN190188_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-826.1_TRINITY_DN208457_c2_g1,,9DC3_SOLPI,nochange,,,,
Cluster-53877.0_TRINITY_DN184860_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-101950.3_TRINITY_DN202383_c0_g3,,9DC3_SOLPI,nochange,,,,
Cluster-109845.0_TRINITY_DN209400_c2_g2,,9DC3_SOLPI,nochange,,,,
Cluster-107600.2_TRINITY_DN198510_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-93392.0_TRINITY_DN200729_c2_g3,,9DC3_SOLPI,nochange,,,,
Cluster-101950.2_TRINITY_DN202383_c0_g3,,9DC3_SOLPI,nochange,,,,
Cluster-101950.2_TRINITY_DN202383_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-17395.1_TRINITY_DN202383_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-99366.1_TRINITY_DN204065_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-96089.0_TRINITY_DN200324_c1_g4,,9DC3_SOLPI,nochange,,,,
Cluster-113668.4_TRINITY_DN201557_c1_g1,,9DC3_SOLPI,nochange,,,,
Cluster-94877.0_TRINITY_DN207505_c1_g1,,9DC3_SOLPI,nochange,,,,
Cluster-66946.0_TRINITY_DN195011_c9_g2,,9DC3_SOLPI,nochange,,,,
Cluster-30599.0_TRINITY_DN184084_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-70520.1_TRINITY_DN209459_c1_g1,,9DC3_SOLPI,nochange,,,,
Cluster-103761.1_TRINITY_DN210559_c1_g2,,9DC3_SOLPI,nochange,,,,
Cluster-101778.0_TRINITY_DN203826_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-103611.0_TRINITY_DN208417_c3_g1,,9DC3_SOLPI,nochange,,,,
Cluster-107264.0_TRINITY_DN206922_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-96286.2_TRINITY_DN200378_c9_g2,,9DC3_SOLPI,nochange,,,,
Cluster-109946.0_TRINITY_DN208199_c4_g1,,9DC3_SOLPI,nochange,,,,
Cluster-93189.5_TRINITY_DN208710_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-109010.0_TRINITY_DN204433_c0_g2,,9DC3_SOLPI,nochange,,,,
Cluster-106566.8_TRINITY_DN210536_c2_g1,,9DC3_SOLPI,nochange,,,,
Cluster-109812.0_TRINITY_DN210350_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-103569.0_TRINITY_DN202909_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-96350.0_TRINITY_DN204254_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-102277.0_TRINITY_DN209744_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-106138.1_TRINITY_DN208279_c0_g1,,9DC3_SOLPI,nochange,,,,
Cluster-27302.16_TRINITY_DN211003_c1_g1,,9DC3_SOLPI,nochange,,,,
Cluster-108429.0_TRINITY_DN208550_c1_g3,,9DC3_SOLPI,nochange,,,,
Cluster-97326.0_TRINITY_DN206423_c3_g4,,9DC3_SOLPI,nochange,,,,
Cluster-95247.0_TRINITY_DN199193_c2_g1,,9DC3_SOLPI,nochange,,,,
Cluster-108259.3_TRINITY_DN201583_c2_g1,,9DC3_SOLPI,nochange,,,,
Cluster-103537.0_TRINITY_DN209232_c5_g3,,9DC3_SOLPI,nochange,,,,
Cluster-103761.0_TRINITY_DN210559_c1_g2,,9DC3_SOLPI,nochange,,,,
Cluster-96350.6_TRINITY_DN211303_c5_g1,,9DC3_SOLPI,nochange,,,,
Cluster-85757.0_TRINITY_DN209589_c2_g5,,9DC3_SOLPI,nochange,,,,
Cluster-113668.3_TRINITY_DN201557_c1_g1,XM_025121645.1,9DC2_SOLPI,nochange,,,,
Cluster-113668.2_TRINITY_DN201557_c1_g1,XM_025121645.1,9DC2_SOLPI,nochange,,,,
Cluster-112914.2_TRINITY_DN207494_c1_g1,XM_023681772.1,9DC2_SOLPI,nochange,,,,
Cluster-101990.0_TRINITY_DN199060_c8_g1,XM_020411230.1,9DC2_SOLPI,nochange,,,,
Cluster-106566.12_TRINITY_DN196997_c3_g1,XM_020410345.1,9DC2_SOLPI,nochange,,,,
Cluster-92331.5_TRINITY_DN210803_c2_g1,XM_018972651.1,9DC2_SOLPI,nochange,,,,
Cluster-94979.0_TRINITY_DN209447_c0_g1,XM_018645025.1,9DC2_SOLPI,nochange,,,,
Cluster-92331.4_TRINITY_DN194929_c1_g2,XM_016874051.1,9DC2_SOLPI,nochange,,,,
Cluster-97953.0_TRINITY_DN203480_c1_g2,XM_016623868.1,9DC2_SOLPI,nochange,,,,
Cluster-102884.2_TRINITY_DN196635_c7_g1,XM_011080814.2,9DC2_SOLPI,nochange,,,,
Cluster-105201.1_TRINITY_DN211166_c3_g1,XM_010937176.2,9DC2_SOLPI,nochange,,,,
Cluster-110229.1_TRINITY_DN207435_c3_g1,XM_010661648.2,9DC2_SOLPI,nochange,,,,
Cluster-90805.0_TRINITY_DN207114_c2_g5,AC069323.5,9DC2_SOLPI,nochange,,,,
Cluster-108166.0_TRINITY_DN209232_c5_g1,,9DC2_SOLPI,nochange,,,,
Cluster-96350.5_TRINITY_DN211303_c5_g3,,9DC2_SOLPI,nochange,,,,
Cluster-17395.1_TRINITY_DN202383_c0_g4,,9DC2_SOLPI,nochange,,,,
Cluster-27166.1_TRINITY_DN199680_c2_g3,,9DC2_SOLPI,nochange,,,,
Cluster-93973.0_TRINITY_DN210987_c1_g2,,9DC2_SOLPI,nochange,,,,
Cluster-86636.5_TRINITY_DN207813_c4_g1,,9DC2_SOLPI,nochange,,,,
Cluster-102827.4_TRINITY_DN210945_c1_g1,,9DC2_SOLPI,nochange,,,,
Cluster-87057.0_TRINITY_DN210337_c1_g2,,9DC2_SOLPI,nochange,,,,
Cluster-93961.0_TRINITY_DN198738_c1_g1,,9DC2_SOLPI,nochange,,,,
Cluster-102884.0_TRINITY_DN196635_c7_g1,,9DC2_SOLPI,nochange,,,,
Cluster-100150.0_TRINITY_DN210328_c2_g1,,9DC2_SOLPI,nochange,,,,
Cluster-108259.1_TRINITY_DN208417_c3_g2,,9DC2_SOLPI,nochange,,,,
Cluster-93347.1_TRINITY_DN189291_c0_g2,,9DC2_SOLPI,nochange,,,,
Cluster-52811.3_TRINITY_DN206746_c0_g3,,9DC2_SOLPI,nochange,,,,
Cluster-106566.17_TRINITY_DN210536_c2_g2,,9DC2_SOLPI,nochange,,,,
Cluster-92544.0_TRINITY_DN202995_c1_g1,,9DC2_SOLPI,nochange,,,,
Cluster-97682.0_TRINITY_DN198258_c0_g3,,9DC2_SOLPI,nochange,,,,
Cluster-15696.5_TRINITY_DN204604_c5_g2,,9DC2_SOLPI,nochange,,,,
Cluster-106566.1_TRINITY_DN196398_c3_g2,,9DC2_SOLPI,nochange,,,,
Cluster-12183.1_TRINITY_DN206044_c1_g1,,9DC2_SOLPI,nochange,,,,
Cluster-103611.2_TRINITY_DN207929_c1_g1,,9DC2_SOLPI,nochange,,,,
Cluster-108333.0_TRINITY_DN209280_c1_g4,,9DC2_SOLPI,nochange,,,,
Cluster-97589.0_TRINITY_DN211303_c5_g5,,9DC2_SOLPI,nochange,,,,
Cluster-96112.0_TRINITY_DN209931_c0_g1,,9DC2_SOLPI,nochange,,,,
Cluster-86636.1_TRINITY_DN199900_c0_g3,,9DC2_SOLPI,nochange,,,,
Cluster-111146.0_TRINITY_DN207007_c0_g2,XM_016657138.1,8ODP_RAT,nochange,,,,
Cluster-100821.0_TRINITY_DN208526_c0_g2,XM_008448312.2,8ODP_RAT,nochange,,,,
Cluster-93151.3_TRINITY_DN210082_c0_g1,XM_022906609.1,88F1R_MALDO,nochange,,,,
Cluster-98001.1_TRINITY_DN208556_c1_g3,XM_022890078.1,88F1R_MALDO,nochange,,,,
Cluster-26175.0_TRINITY_DN206006_c0_g6,XM_018577963.1,88F1R_MALDO,nochange,,,,
Cluster-112060.0_TRINITY_DN202687_c2_g4,,88F1R_MALDO,nochange,,,,
Cluster-96333.0_TRINITY_DN205457_c3_g1,,88F1R_MALDO,nochange,,,,
Cluster-64365.1905_TRINITY_DN206695_c4_g4,,88F1R_MALDO,nochange,,,,
Cluster-97392.1_TRINITY_DN201622_c1_g1,,88F1R_MALDO,nochange,,,,
Cluster-93151.1_TRINITY_DN210082_c0_g4,,88F1R_MALDO,nochange,,,,
Cluster-101669.0_TRINITY_DN203691_c0_g2,XM_025750465.1,88F1G_MALDO,nochange,,,,
Cluster-113879.3_TRINITY_DN202489_c4_g1,XM_024589981.1,88F1G_MALDO,nochange,,,,
Cluster-108565.2_TRINITY_DN206957_c0_g1,XM_024329617.1,88F1G_MALDO,nochange,,,,
Cluster-87215.0_TRINITY_DN170731_c0_g2,XM_022053044.1,88F1G_MALDO,nochange,,,,
Cluster-113991.22_TRINITY_DN206142_c2_g2,XM_019606619.1,88F1G_MALDO,nochange,,,,
Cluster-107901.0_TRINITY_DN202895_c0_g3,XM_016691633.1,88F1G_MALDO,nochange,,,,
Cluster-96153.0_TRINITY_DN202649_c2_g2,MF674528.1,88F1G_MALDO,nochange,,,,
Cluster-106248.0_TRINITY_DN202649_c2_g3,MF674528.1,88F1G_MALDO,nochange,,,,
Cluster-108565.0_TRINITY_DN206957_c0_g1,KX639793.1,88F1G_MALDO,nochange,,,,
Cluster-64365.1653_TRINITY_DN198358_c1_g4,KP852028.1,88F1G_MALDO,nochange,,,,
Cluster-95453.0_TRINITY_DN205982_c2_g2,CP020639.1,88F1G_MALDO,nochange,,,,
Cluster-99329.0_TRINITY_DN207128_c1_g1,AY262061.1,88F1G_MALDO,nochange,,,,
Cluster-111123.0_TRINITY_DN211085_c2_g1,,88F1G_MALDO,nochange,,,,
Cluster-113879.1_TRINITY_DN202489_c4_g4,,88F1G_MALDO,nochange,,,,
Cluster-105608.0_TRINITY_DN206155_c1_g2,XM_025158182.1,86A22_PETHY,nochange,,,,
Cluster-108917.2_TRINITY_DN210573_c3_g6,XM_024304589.1,86A22_PETHY,nochange,,,,
Cluster-102299.1_TRINITY_DN209845_c0_g1,XM_024054240.1,86A22_PETHY,nochange,,,,
Cluster-86469.1_TRINITY_DN209765_c1_g1,XM_021765324.1,86A22_PETHY,nochange,,,,
Cluster-90313.3_TRINITY_DN210266_c0_g5,XM_021758568.1,86A22_PETHY,nochange,,,,
Cluster-91002.8_TRINITY_DN209430_c6_g2,XM_021753534.1,86A22_PETHY,nochange,,,,
Cluster-107518.0_TRINITY_DN197640_c4_g1,XM_020826267.1,86A22_PETHY,nochange,,,,
Cluster-109090.2_TRINITY_DN196807_c0_g1,XM_020360478.1,86A22_PETHY,nochange,,,,
Cluster-105366.0_TRINITY_DN196819_c0_g1,XM_018122148.1,86A22_PETHY,nochange,,,,
Cluster-106302.0_TRINITY_DN193190_c8_g1,XM_017777737.1,86A22_PETHY,nochange,,,,
Cluster-109090.3_TRINITY_DN199643_c0_g2,XM_016040619.2,86A22_PETHY,nochange,,,,
Cluster-108183.1_TRINITY_DN210086_c0_g1,XM_012237360.2,86A22_PETHY,nochange,,,,
Cluster-97796.0_TRINITY_DN188397_c0_g1,XM_011090563.2,86A22_PETHY,nochange,,,,
Cluster-98274.0_TRINITY_DN209315_c0_g5,XM_010931477.2,86A22_PETHY,nochange,,,,
Cluster-100668.0_TRINITY_DN200498_c2_g1,XM_010108290.2,86A22_PETHY,nochange,,,,
Cluster-91002.5_TRINITY_DN209430_c6_g2,XM_002320038.3,86A22_PETHY,nochange,,,,
Cluster-113224.1_TRINITY_DN204665_c1_g3,NM_111218.4,86A22_PETHY,nochange,,,,
Cluster-92835.0_TRINITY_DN210573_c4_g1,CP030984.1,86A22_PETHY,nochange,,,,
Cluster-108183.0_TRINITY_DN210086_c0_g3,CP027622.1,86A22_PETHY,nochange,,,,
Cluster-105882.0_TRINITY_DN207632_c0_g2,CP023118.1,86A22_PETHY,nochange,,,,
Cluster-86469.0_TRINITY_DN209765_c1_g1,AY466856.1,86A22_PETHY,nochange,,,,
Cluster-109090.0_TRINITY_DN196807_c0_g1,AM425970.2,86A22_PETHY,nochange,,,,
Cluster-85375.1_TRINITY_DN209997_c2_g2,,86A22_PETHY,nochange,,,,
Cluster-108917.1_TRINITY_DN206851_c3_g1,,86A22_PETHY,nochange,,,,
Cluster-108891.6_TRINITY_DN209385_c4_g1,,86A22_PETHY,nochange,,,,
Cluster-91002.6_TRINITY_DN205114_c0_g1,,86A22_PETHY,nochange,,,,
Cluster-49079.1_TRINITY_DN203567_c4_g2,,86A22_PETHY,nochange,,,,
Cluster-87870.0_TRINITY_DN199989_c0_g1,,86A22_PETHY,nochange,,,,
Cluster-109505.0_TRINITY_DN210657_c2_g3,,86A22_PETHY,nochange,,,,
Cluster-108891.15_TRINITY_DN209385_c4_g1,,86A22_PETHY,nochange,,,,
Cluster-97612.0_TRINITY_DN178864_c0_g1,,86A22_PETHY,nochange,,,,
Cluster-99664.1_TRINITY_DN210266_c0_g1,,86A22_PETHY,nochange,,,,
Cluster-95511.0_TRINITY_DN195066_c2_g3,,86A22_PETHY,nochange,,,,
Cluster-36410.0_TRINITY_DN200838_c2_g1,,7UP2_DROME,nochange,,,,
Cluster-55320.0_TRINITY_DN198928_c10_g1,,7UP2_DROME,nochange,,,,
Cluster-87439.0_TRINITY_DN203197_c4_g1,MF360809.1,7UP1_DROME,nochange,,,,
Cluster-67253.0_TRINITY_DN202551_c3_g6,,7UP1_DROME,nochange,,,,
Cluster-102913.1_TRINITY_DN202988_c4_g2,XM_018992374.1,7TMK2_DICDI,nochange,,,,
Cluster-96508.1_TRINITY_DN197218_c0_g1,XR_002690235.1,7TMK1_DICDI,nochange,,,,
Cluster-99010.3_TRINITY_DN205702_c0_g3,XM_026601612.1,7TMK1_DICDI,nochange,,,,
Cluster-99612.9_TRINITY_DN209299_c2_g4,XM_026533860.1,7TMK1_DICDI,nochange,,,,
Cluster-112006.0_TRINITY_DN205757_c2_g1,XM_025127988.1,7TMK1_DICDI,nochange,,,,
Cluster-112006.9_TRINITY_DN205757_c2_g1,XM_025127988.1,7TMK1_DICDI,nochange,,,,
Cluster-112006.1_TRINITY_DN205757_c2_g1,XM_025127988.1,7TMK1_DICDI,nochange,,,,
Cluster-114384.1_TRINITY_DN210591_c0_g1,XM_024782111.1,7TMK1_DICDI,nochange,,,,
Cluster-93971.0_TRINITY_DN195067_c1_g1,XM_024035022.1,7TMK1_DICDI,nochange,,,,
Cluster-86469.3_TRINITY_DN209765_c1_g1,XM_024018677.1,7TMK1_DICDI,nochange,,,,
Cluster-98475.0_TRINITY_DN203748_c0_g2,XM_023672255.1,7TMK1_DICDI,nochange,,,,
Cluster-107463.0_TRINITY_DN206713_c0_g3,XM_022915396.1,7TMK1_DICDI,nochange,,,,
Cluster-105286.1_TRINITY_DN207098_c3_g1,XM_022301958.1,7TMK1_DICDI,nochange,,,,
Cluster-93324.14_TRINITY_DN207479_c1_g2,XM_022178338.1,7TMK1_DICDI,nochange,,,,
Cluster-103022.0_TRINITY_DN200259_c4_g1,XM_022149957.1,7TMK1_DICDI,nochange,,,,
Cluster-107463.1_TRINITY_DN206713_c0_g4,XM_022044294.1,7TMK1_DICDI,nochange,,,,
Cluster-98715.0_TRINITY_DN203587_c1_g3,XM_019397524.1,7TMK1_DICDI,nochange,,,,
Cluster-102913.1_TRINITY_DN209580_c3_g1,XM_018992374.1,7TMK1_DICDI,nochange,,,,
Cluster-107568.3_TRINITY_DN203587_c1_g2,XM_018655152.1,7TMK1_DICDI,nochange,,,,
Cluster-107568.2_TRINITY_DN203587_c1_g2,XM_018655152.1,7TMK1_DICDI,nochange,,,,
Cluster-99612.5_TRINITY_DN209299_c2_g1,XM_017387173.1,7TMK1_DICDI,nochange,,,,
Cluster-93971.5_TRINITY_DN209903_c0_g1,XM_017371147.1,7TMK1_DICDI,nochange,,,,
Cluster-107568.4_TRINITY_DN203587_c1_g2,XM_017364496.1,7TMK1_DICDI,nochange,,,,
Cluster-93971.3_TRINITY_DN208918_c0_g1,XM_016850090.1,7TMK1_DICDI,nochange,,,,
Cluster-96508.2_TRINITY_DN197218_c0_g4,XM_016027099.2,7TMK1_DICDI,nochange,,,,
Cluster-113812.0_TRINITY_DN206288_c0_g1,XM_012984889.1,7TMK1_DICDI,nochange,,,,
Cluster-109596.3_TRINITY_DN204608_c0_g1,XM_012236466.2,7TMK1_DICDI,nochange,,,,
Cluster-109596.6_TRINITY_DN204608_c0_g1,XM_012236466.2,7TMK1_DICDI,nochange,,,,
Cluster-84904.5_TRINITY_DN208832_c0_g1,XM_012216542.2,7TMK1_DICDI,nochange,,,,
Cluster-88415.1_TRINITY_DN209371_c3_g2,XM_010529059.2,7TMK1_DICDI,nochange,,,,
Cluster-111262.0_TRINITY_DN206723_c4_g1,XM_010454940.1,7TMK1_DICDI,nochange,,,,
Cluster-77191.0_TRINITY_DN190205_c0_g1,XM_009498265.1,7TMK1_DICDI,nochange,,,,
Cluster-19856.0_TRINITY_DN189008_c0_g1,XM_004332868.1,7TMK1_DICDI,nochange,,,,
Cluster-90568.4_TRINITY_DN203675_c2_g1,XM_004295344.2,7TMK1_DICDI,nochange,,,,
Cluster-107463.2_TRINITY_DN208846_c0_g2,XM_002283037.3,7TMK1_DICDI,nochange,,,,
Cluster-93971.2_TRINITY_DN208918_c0_g1,XM_002266293.4,7TMK1_DICDI,nochange,,,,
Cluster-105110.3_TRINITY_DN201569_c1_g1,AM471290.1,7TMK1_DICDI,nochange,,,,
Cluster-58147.0_TRINITY_DN207905_c6_g2,,7TMK1_DICDI,nochange,,,,
Cluster-99612.6_TRINITY_DN209299_c2_g1,,7TMK1_DICDI,nochange,,,,
Cluster-31302.7_TRINITY_DN197376_c4_g1,,7TMK1_DICDI,nochange,,,,
Cluster-109591.1_TRINITY_DN201525_c5_g3,XM_023900649.1,7SBG2_SOYBN,nochange,,,,
Cluster-98627.0_TRINITY_DN204099_c1_g3,XM_022914235.1,7SBG2_SOYBN,nochange,,,,
Cluster-93297.29_TRINITY_DN210397_c0_g1,XM_022905952.1,7SBG2_SOYBN,nochange,,,,
Cluster-113798.1_TRINITY_DN200908_c0_g2,XM_021757694.1,7SBG2_SOYBN,nochange,,,,
Cluster-95962.0_TRINITY_DN198626_c4_g1,XM_019580764.1,7SBG2_SOYBN,nochange,,,,
Cluster-105331.1_TRINITY_DN200460_c2_g2,XM_017768389.1,7SBG2_SOYBN,nochange,,,,
Cluster-98327.0_TRINITY_DN202704_c3_g1,XM_015728304.2,7SBG2_SOYBN,nochange,,,,
Cluster-93297.6_TRINITY_DN210397_c0_g1,XM_010243178.2,7SBG2_SOYBN,nochange,,,,
Cluster-107462.0_TRINITY_DN201134_c0_g3,XM_007048468.2,7SBG2_SOYBN,nochange,,,,
Cluster-108199.0_TRINITY_DN201108_c2_g1,XM_003631406.3,7SBG2_SOYBN,nochange,,,,
Cluster-103339.0_TRINITY_DN203322_c0_g2,,7SBG2_SOYBN,nochange,,,,
Cluster-114102.0_TRINITY_DN207436_c1_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-100620.1_TRINITY_DN205928_c6_g4,,7SBG2_SOYBN,nochange,,,,
Cluster-29708.2_TRINITY_DN211069_c0_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-97787.0_TRINITY_DN207494_c0_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-112644.0_TRINITY_DN201405_c3_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-108081.0_TRINITY_DN199012_c5_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-87700.0_TRINITY_DN201263_c3_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-112644.2_TRINITY_DN202279_c2_g1,,7SBG2_SOYBN,nochange,,,,
Cluster-112110.0_TRINITY_DN207633_c1_g1,XM_012227252.2,7SB1_SOYBN,nochange,,,,
Cluster-96463.0_TRINITY_DN208449_c5_g3,XM_008443159.2,7SB1_SOYBN,nochange,,,,
Cluster-112018.0_TRINITY_DN207169_c0_g1,CP019093.1,7SB1_SOYBN,nochange,,,,
Cluster-112018.1_TRINITY_DN207169_c0_g1,CP019093.1,7SB1_SOYBN,nochange,,,,
Cluster-7769.0_TRINITY_DN207179_c2_g3,,7SB1_SOYBN,nochange,,,,
Cluster-104510.0_TRINITY_DN204479_c0_g1,,7SB1_SOYBN,nochange,,,,
Cluster-64365.1463_TRINITY_DN205368_c2_g1,,7SB1_SOYBN,nochange,,,,
Cluster-109811.0_TRINITY_DN203329_c3_g1,,7OMT9_MEDSA,nochange,,,,
Cluster-110075.0_TRINITY_DN197374_c0_g1,KT390158.1,7OMT_PAPSO,nochange,,,,
Cluster-113681.0_TRINITY_DN206369_c3_g1,AB246393.1,7OMT_PAPSO,nochange,,,,
Cluster-99529.0_TRINITY_DN201156_c3_g3,,7OMT_PAPSO,nochange,,,,
